,문장
1296,이거면 금지어로 18도 들어가겠는대?
1297,공산당
1298,왜 무관심을 줬을까? ㅋㅋㅋㅋ
1299,병신새끼
1300,ㅋㅋㅋ  - dc App
1301,그냥 틀니 빼고 방구석에서 잠이나 쳐 자라
1302,돈이 적어서 유치 못할 거였으면 시작도 하지 말았어야지
1303,29표 받으려고 그동안 쓴 돈이... 이거이거 국정조사 특검 압수수색 해야 된다고 본다. 돈 어디어디에 썼는지 밝혀야지.
1304,비번도 못까 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1305,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1306,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1307,ㅋㅋㅋㅋㅋㅋㅋ
1308,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1309,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1310,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1311,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1312,쓰레기 단체
1313,보수가 너무 착하고 선해보일 정도다.
1314,"인요한도 한동훈과 다를 게 없는 부류인데, 무슨 선대위원장? ㅋㅋ 아주 잘하고 있어ㅋㅋ"
1315,아이와 부인을 건든게 누군데 ㅋㅋㅋ
1316,마피아가 집권중인 나라?ㅋㅋㅋㅋ
1317,참여마피아출신 김경률
1318,ㅋㅋ
1319,황교안이 전관으로 벌었던 수익은 다들 까먹었나?ㅋㅋㅋ
1320,모 검사장은 전관으로 돈 벌어서 빌라 몇 채를 샀었지?
1321,티비조선 대단하다  ㅋㅋㅋㅋㅋㅋ 한동훈가족도  ㅋㅋㅋㅋㅋ
1322,윤석열 - 지옥 1배문재인 - 지옥 5배이재명 - 지옥 7배청년 군사혁명 - 지옥 0.5배
1323,"범죄자들의 정의시민척 하는 좃같은 나라,  바로 잡아야 한다."
1324,범죄자들이 득실득실  - dc App
1325,"맞말이지,  이번 선거는 범죄자 년넘들 때려잡는 선거."
1326,막말부터가 쫄린거임 ㅋㅋ
1327,느그윤
1328,천공 스승이라는 인간 이름이 이천공?ㅋㅋ
1329,쉿~천공의 2000공양설 들켜버린겁니꽈
1330,그냥 문재인 사람 이거 같은데~!!문재인에게 충성하는 거 아냐~!
1331,ㅇㄱㄹㅇ
1332,에휴
1333,김윤 민주당 비례후보.이재명 웃고 있다.
1334,설마 김건희가 커넥션 중심에 있는 건 아니겠지.
1335,거니가 스승으로 모시는 李천공이 이천명 증원하라고 시켜서 저러나?  안철수도 반대하고 대통령주치의도 반대하고  연구기관들도 반대하는 이천명 고집하면서  숫자의 근거도 못내놓는 이유가 뭘까?그냥 이천명 닥치고 이천명 아몰랑 이천명 왜? 李천공과 거니때문이니?
1336,석고대죄해야될듯.
1337,좌파교수 핑계대는거보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  - dc App
1338,좌파까면서 총선 2찍할수있음??  - dc App
1339,의료계 좌파 카르텔에 윤석열포위돼 빠져 나오지 못하는 거같은데 윤 돌머리로는 상상도못하겠지만 주변 부터 다 경질해 봐 박민수. 안상훈. 자생 커넥션등등.
1340,몇안되는 찐 보수우파분중 제일 똑똑하고 글 잘쓰시는분
1341,2000명 갖고 싸운다고~!!!!!!!중요하지도 않는데~!
1342,거긴 절라도잖아
1343,원희룡아 반윤을 했어야지
1344,민주당 선대본부장 이수정? ㅋㅋㅋㅋ
1345,여야 모조리 아니다~!
1346,고도의 심리학자라 그런지 . 어느당을 입당하려고 개수작을 하는지 모르겟다 ㅋㅋㅋ
1347,ㅋㅋㅋ
1348,빨갱이들 커밍아웃.
1349,서울은 동료시민에게.
1350,남하시켜 성문을 열어 줌.좌파들이 원하던 서울 이전 노무현 한풀이.
1351,평양 과 사울 대결에서 서울이 후퇴.
1352,세종이전= 북한 포격사거리밖으로 피신.윤석열 전시작전권 연장안함. 박근혜는 무기한 연장에 이명박도 3년연장했는데 . 한동훈은 미문화원 점거한 반미운동권 공천주고 도태우같은 우파는 날려버림. 왜일까? 이승만기념관은 말만하고 518처럼  43제주폭동 후손들에게 몇천억대 보상금지급중.518도43도계속 모집 현재도 계속 늘어나고 보상금도 계속 퍼주는중
1353,문재인 이 못한것 윤석열이 거침없이 밀어 붙이고 있어.껍데기는 우파라고 팬심이 대단하니 얼마나 쉬어 보수는 궤멸되고 모든게 좌파정팩 이래도 추종 노예들 가득.
1354,북한의 서울 접근 김포 서울화하려고 했지 군사 요충지 김포허물어 뜨림 . 한동훈 찐 종북 종중.
1355,???: 윤서방~ 또 걸렸네~ 수고스럽더라도 잘 부탁허이~
1356,사기꾼이 사기를 한번만 해쳐먹었을거란 생각은 너무나 순진한 생각 아닌가?ㅋㅋ
1357,ㅋㅋㅋㅋ
1358,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1359,시사와 예능도 접목될수있다는것을 보여주는 독보적인 사회자.  kbs더라이브보다 좀더 캐쥬얼하게 시사를 진행하면 최고의 진행자로 안성맞춤이지. 앞으로가 더 기대되는 최욱.   화이팅~~
1360,ㅊㅋ
1361,공중파가 아니라 지상파
1362,극우코인으로 폭망ㅋㅋ
1363,정권 바뀌면 리천수 일본으로 도피하나?
1364,문재앙은 시민단체전형 추진하다가 12일만에 의새한테 무릎꿇고 고소고발한거 다 취하해줌 ㅋㅋㅋㅋㅋ
1365,누군가 언젠가 해야한다면 지금 내가 하겠다 크 윤카 화이팅^^
1366,문재앙때 했을때는 찍소리 안했지?
1367,진짜 노비면 한다고 줄서는 사람들 없다
1368,분명 재앙이된다.AI 인구감소로 줄여야할 판에 대폭 증원 한마디로 죽자는 것.
1369,ㅇㅇ맞음
1370,의사들 전부 우파들인데 자기편 죽이는 이상한 인간대책도 없이 갑자기 70% 증원 레알 미친거 맞음
1371,사악한 머머리와 칠푼이
1372,니가 지랄해봐야ㅑ 근본 원인은 이재명이고 2등은 한동훈임
1373,나는 정통보수야 민주당 이기는 것 바라지도 않아어차피 그놈이 그놈윤석열 이재명 원팀매국노들 객관적으로보는 거야.
1374,문재인이 진보 표밭이었던 이대남을 극우로 바꾼거랑윤석열이 보수를 뜨리고 있는거랑 뭐가 가르나?
1375,동감 윤석렬은 지금 민주당 위해 선거운동하고 있음
1376,국민의성추행당ㅋㅋ
1377,성추행의힘ㅋㅋㅋㅋㅋㅋ
1378,정당 지지도 현황https://ejrrn.ulog.kr/630523
1379,공직 선거법 115조 위반?제 삼자 기부행위 금지
1380,정당 지지도 현황https://ejrrn.ulog.kr/630523
1381,정당 지지도 현황https://ejrrn.ulog.kr/630523
1382,정당 지지도 현황https://ejrrn.ulog.kr/630523
1383,정당 지지도 현황https://ejrrn.ulog.kr/630523
1384,ㅋㅋㅋㅋㅋㅋ 숟가락 잘 올리누
1385,인플레인데 돈풀자는 멍청이 주제에 ㅋㅋㅋㅋ 누가누굴 칭찬하노
1386,좋은 정책 뺏기니 약오른듯
1387,반일하면서 일본여행 많이가는 좌좀들
1388,이 쇼를 위해서 환자며 의사(부산대 교수님 사망 소식이..)며.. 자신들의 쇼를 위해선 사람 목숨을 파리목숨처럼 보는 정권이라고?
1389,제2의 총풍사건?
1390,법위에 군림하는 검찰은 해체가 답인 것 같다
1391,조국혁신당에서 검찰 조직적 디지털 범죄 행위로 민간인 사찰로 규정하고 공수처에 고발하고 빠른 수사 착수를 촉구하는 내용https://www.youtube.com/live/B-VlIo5iz7I?si=_d3TO0uqNxersonq27분경부터 보시길..
1392,일본 핵오염수 방출..국힘당 선거 폭망ㅋㅋㅋㅋㅋㅋ
1393,부동산 폭등시킨 1찍 ㅅㅋ들이 물가타령???? ㅋㅋㅋㅋㅋㅋㅋ
1394,"??? : ""다시 들어봐주십쇼. '875엔'이라고 했습니다.""ㅋㅋㅋㅋ"
1395,대파게이트 ㅋㅋㅋㅋ
1396,자기가 장을 마니 봐봐서 잘 안다고 덧붙인 게 더 역겨웠음 주위에서 억지로 웃어주는 병신들하고
1397,저 인간이 검사 출신에 법무부 장관이라 경찰이 무혐의 주갰지 ㅋ
1398,"한강의기적을 사람잡아먹는 한강의 흉칙한 괴물로 선전선동세뇌한, 재한조총련 레밍예술선전대 레밍예술영화감독 봉주노"
1399,좆86 = 역사상 최악 내로남불 꿀빠니스트 쓰레기세대
1400,4050 극혐 꼰대세대
1401,현실은 방구석 히키코모리 커뮤티인간들 = 우파사회의 어엿한 구성원으로서 주변인들에게 사랑받는 사람들 = 좌파이건 우파 좌파 구별없이 인정하는꼴 아닌가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1402,"멕도날드 먹는 사람은 미국 비판하면 안되고, 초밥 먹는 사람은 일본을 비판하면 안된다, 미국, 일본 비판하는 것은 좌파인데 좌파는 적이라는 저 기묘한 사고방식이 도무지 이해가 안간다. 그냥 자신들 사고방식의 틀에 모든 세상과 사람을 껴맞추려고 마구 우겨넣음."
1403,뜬 구름 잡는 아무 내용 없는 하나 마나 한 소리
1404,정치성향 떠나서 눈빛이며 말투며 그냥 패고싶거 생김   - dc App
1405,좌좀탈출은 지능순
1406,비추보소 2찍들 선동 안먹히노ㅋㅋ
1407,죽일놈 새끼
1408,선조 인조 연산보다 더 최악
1409,통일신라 민애왕급
1410,어차피 조국신당 지지자들 대다수가 민주당 이재명 지지자들임
1411,꾹아  ~  감방가야지?
1412,범죄인 가족 일당 저런넘이 어떻게 공무원 되겠다고  나오지?    국민년넘들이  개돼지라  그런거지.
1413,'한동훈 처가 비리 의혹' 검색해봐라ㅋㅋ
1414,꾹이는  감옥갈 걱정이나 하는게 좋을거 같다. 남 신경쓸 여유나 있나?
1415,벌써 부터 기대됨. 조사시작하면 만리장성 만큼 나올거같다 ㅋㅋㅋ
1416,무식한 하나가 나라를 ..
1417,페미니스트 운동 청산이 시급하다
1418,선택적 페미니스트의 2차 가해 운운하는 것은 여성 인권 운동을 왜곡하는 것..
1419,이거 명문의 글이네
1420,홍석현 윤석열 친윤 검찰 세력의 실체를 정확하게 꿰뚫어봤네 그 배후가 미국 민주당  pc페미계 중앙일보 jtbc홍석현임
1421,신평도 정확하게 봤네 애초부터 약발도 없었음.
1422,문재인 호불호 떠나서 문재인 페스카마호 변호한거부터 트집잡을떄 미친 새끼들이라는건 짐작 했다만 그게 문재인 개인 호불호로 판단할 문제냐? 변호사가 뭐하는 직업인지 몰라? 법이라는 체계가 만들어질떄 왜 변호사가 생겼는지 모르냐?
1423,검사새끼들은 검사는 피의자 취조하니까 정의의 축이고 변호사는 피의자 변호하니까 악의 축이라고 생각하는 거 같음
1424,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1425,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1426,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1427,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1428,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1429,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1430,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1431,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1432,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1433,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1434,치킨짓 하니깐 망한다~!!ㅋㅋㅋㅋ하하하~!
1435,아주 개박살을 내야함
1436,송파갑 송파들 니들도 정신좀차려라
1437,하나같이 절라도 많이 사는 지역이네 ㅋㅋ
1438,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  - dc App
1439,홍석현이라는 정알못 역대급 병신 밑의 두 부하 윤석열 한동훈 이미 예견된 사태
1440,돼주빈과더불어n번방당
1441,어디서 이런 개 쌍년들만 골라오는지 그것도 재명이 능력이네...ㅉㅉㅉ
1442,변호사가 원래 누구나 변호하는 직업인데 뭔개소리야
1443,진보좌빨년넘들은 악마다.
1444,어질어질하네 ㅋㅋ
1445,ㅋㅋ국힘 총선 개좆망이네
1446,비난도 뽑지도 않겠습니다
1447,더 웃긴다~!더 망하지~!!모지리 같아 보인다~!
1448,저 대머리 미친새끼
1449,변희재는 과거에 여기저기 사람 따라다니면서 괴롭히는거 중계해서 돈벌던 사람.  김어준하고는 정치색을 떠나 그릇이 다름.
1450,그렇게 생각하고 사세요정신건강에는 좋겠네요
1451,ㅋㅋㅋㅋ  - dc App
1452,절라도 많이 사는 지역에서 조사 했나
1453,"비법거래소라는 서비스인데 부수입 얻으려고 글쓰는중주제 상관 없는 것 같고, 조건은 글이 좋아요 100개를 받아야 한다고 함...3월 31일까지, 100만원 주는 이벤트도 있음.https://disquiet.io/product/%EB%B9%84%EB%B2%95%EA%B1%B0%EB%9E%98%EC%86%8C"
1454,의협도 이판사판 국희의원 출마해보시지~!
1455,ㅋㅋㅋ  - dc App
1456,우리 모두 윤석열 ㅋㅋㅋ
1457,나경원 없는데?? 어딨노 삼영게이야
1458,이건 뭐  공산주의인가 ㅋㅋ
1459,윤두창 죽을때 됐네 ㅋㅋㅋㅋ
1460,고자 돼지 병신새끼들 ㅋㅋㅋ
1461,븐명히 윤석열에게 전화 왔다 ㅋㅋ
1462,선거는 = 전유권자를 대상으로 한 직접참여 여론조사로 + 당선자선출
1463,탈원전으로 나라망친거에 비하면 윤정부는 잘하고있음
1464,구태의연한 정치인들이 국회의원을 한다는게 말이 되나?
1465,도태우같은 양반들 공천하는 당에서 혀가 넘 자유스러운거 같은데?
1466,염치없는자가 권력을 잡으면 뻔뻔해질 수 있다는걸 잊으면 안된다
1467,경제 다 망하는데 국짐 뭐하냐? 환생경제 한번 더해라~
1468,친노들 말고는 노무현 언급할 자격없음
1469,====[총선] 조국혁신당 “'5.18 민주화운동 폄훼' 도태우 즉각 고발”KBS 뉴스4일 전 — 조국혁신당이 5.18 민주화운동 폄훼 발언으로 논란이 된 국민의힘 도태우 예비후보를 고발하기로 했습니다...====
1470,이재명 무기징역 확정이라 조용하지ㅋ
1471,비례의석이 50석도 안되기 때문에 전체 정당 지지도는 큰 의미가 없고 각 지역별 격전지 여론이 중요한데...
1472,조국당은 어디갔냐???
1473,민심은 천심
1474,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1475,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1476,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1477,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1478,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1479,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1480,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1481,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1482,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1483,ㅋㅋㅋㅋㅋㅋㅋㅋ
1484,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1485,ㅋㅋㅋㅋㅋㅋㅋ
1486,가짜 친노들ㅋㅋㅋㅋ노무현 정신 운운하고 있나?ㅋㅋㅋㅋ
1487,징역형 조국도 싸돌아댕기는데 장예찬이 뭔 잘못???
1488,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1489,좌파우파 다 썩었다 허경영이 답이다!
1490,한딸 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1491,국회의원들 수 줄이고 무보수로 100명만해야된다
1492,물가 손놓은건 정권이잖아
1493,ㅇㅇ
1494,너 대체 뭐하는 놈이냐 - dc App
1495,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1496,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1497,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1498,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1499,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1500,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1501,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1502,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1503,ㅋㅋㅋㅋ
1504,ㅎㅇㅌ
1505,국민은 니가 감옥가는걸 원한다.
1506,찢재명만 하겠어요 ㅋㅋㅋㅋ
1507,찢재명은 이미 사기 전과자에 지금은 공금횡령에 부패로 현직 재판중인데요 머 ㅋㅋㅋ
1508,사기꾼중의 사기꾼
1509,창녀도 하나 데리고 다닠
1510,사기대마왕
1511,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1512,아 시원하네ㅋㅋ
1513,칼빵 협박 정권이네.ㅉㅉ  - dc App
1514,이게 나라냐?  - dc App
1515,최악의 독재정권
1516,이런 놈들이 푸틴을 독재자라고 비난하다니 기가 막힘
1517,보지를 칼로 확 쑤셔 찢어 ㅋㅋㅋㅋ 민주당 당대표 ㅋㅋㅋㅋ
1518,측근 연쇄의문사 대표님이 계셔서 저 정도발언은 귀요미
1519,이거 실화냐  - dc App
1520,ㅇㅇ
1521,그래도 찢재명 같은 싸패보다는 낫지 와 찢재명이 대통령 됬다고 생각해봐 ㄷㄷㄷㄷ 찢재명 찢어버린 것 만으로도 윤석열은 나라를 구한거임
1522,====구글 Ebook - 5·18팩트 저장소 - 김대령TV- 인요한 선교사님 5·18 맞짱토론 신청합니다김대령TV....https://www.bookstore21.net/youtube/inyohan.htm
1523,한국인 강제 홍어행 ㅋㅋ
1524,대한민국 국민들이 전부다 '광주시민 의식수준'으로 전향하면 곧 남조선북화통일혁명 혁명의대업이 완수될 거임
1525,ㅋㅋ
1526,일단 쌤쌤으로 정봉주 좆국 치고
1527,실화야? 진짜로?
1528,안돼 장예차니는 끝까지 가야돼 ㅋ
1529,당연함. 그래야 공평하지
1530,임태훈 저사람은 동성애 전파 활동이라도 안하지 주목적이 군인권활동가고 진짜 똥꼬충 전파 활동은 윤두창 저놈임
1531,윤석열은 파면 팔수록 양파네 ㄷㄷㄷ
1532,이게 보수?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1533,윤빠 니들은 사기 당한거임
1534,ㅋㅋ 경상도에서도 배신감에 역풍 쳐맞겠네 근데 저 구라쟁이 저것도 개구라에 한표
1535,그럼 전라무새 두창견들은 우짜라고 ㅠㅠ
1536,ㅋㅋㅋㅋㅋ믿냐?
1537,"영암 깡촌에서 광주까지  인간들이 얼마나 돌아다닌다고  저런돈을 절라도에 쓰나?   저돈 그냥  조부모 가정,  돈없어서 수술 못받는 국민한테 써라,  절라도에 저짓하는건  국민세금 낭비다."
1538,근데 저 고속도로 윤석렬이 추진한게 아니라  절라도가 해달라고 칭얼거린거  다 알지?  븅신들이  또 윤석렬탓할거 같아서 말이야.  안해주면  절라도 차별하냐?  그러겠지.
1539,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1540,닥치고 5.18 유공자 명단 까까까대일본제국의 조선 식민지배는 축복이었다대일본제국 만세 덴노헤이카 반자이 반자이 반자이
1541,이종섭 사건 팩트 오늘 안정권 대표가 빼빠쇼에서 분명히 얘기했을텐데https://www.youtube.com/live/nvefsmdsBSo?si=k-M7aeShvny4TPJq
1542,"국정원 등의 코로나 백신 나노로봇 생체실험, 살인 예비•음모 등, 조직스토킹 인간사냥 범죄사건 조사자료 공유 구글 드라이브 https://drive.google.com/drive/folders/1aI8dPQLfeKMHa_OPqzWYgGPES_KNR1p9"
1543,"■긴급속보■ 국정원 인간사냥과, 코로나 백신에 나노로봇이 있다https://youtube.com/v/mnlJAwo_8BQ?feature=sharedhttps://youtube.com/v/T45nG07pLhE?feature=sharedhttps://youtu.be/SJwHJdfojdo?feature=shared"
1544,그런데 전부 맞말이네.
1545,안정권 대표님은 장예찬 높이 평가하던데 어제 방송에서
1546,대마초 발언 업데이트됐다이기야
1547,틀세연이 뿌린 독ㅋㅋ
1548,태경아.수학적 통계적으로 도저히 말도 안되는 일이 너한텐 절대 안일어날줄 알았냐?ㅋㅋㅋㅋㅋ이건 시작일뿐이야
1549,3선이나 했던 사람이 여성가산점 받는것부터가 미쳤지
1550,정우택 한놈 뒤지든가 말든가 관심이 없지. 저양반이 뱃지를 다는거랑 나랑은 아무관련이없음. 이왕 이렇게된거 열심히 물고 뜯어서 낙선시켜라.
1551,정우택 뱃지 못단다고 울고불고할 보수세력 1명도없을껄
1552,미개한 서울 중국집들?ㅋㅋ중국집들 들고 일어날까? ㅋㅋ
1553,서울에 절라도가 너무 많이 살고 있다.
1554,맞말
1555,고향 똥푸산인 새끼가 서울보고 미개하대ㅋㅋㅋㅋㅋㅋ
1556,난교 정도는 해야 고품격이지~
1557,이 시박새키 머구 조폭 미화 했잔아
1558,순한맛 이재명
1559,쟤 뭐하는 놈이였길래 저렇게 마구 떠들고 다녔지?
1560,윤석열의 적은 윤석열
1561,사시부활시켜야지노무짱이후로나라개판이랑께
1562,원래 그랬다~!!!!!신기할 것도없다~!사시때로 그랬음~!!!!별로 괌심없음~1
1563,로스쿨 망한 제도란건 모두 다 알지...다만 그 실패를 인정하기 싫어서 그냥 이대로 가는거다.
1564,"사시 때보다 훨씬 완화되었고, 로스쿨 입시는 지능 시험으로 결정되는데 상식적으로 대입 성공한 사람의 지능이 더 높지 않겠냐? 저게 뭐가 문제임?"
1565,"대기업 공기업 블라인드면접으로 바꾸니 오히려 sky 비율이 높아졌다는 결과도 있지. 사시나 로스쿨등 엘리트 교육은 고지능이 중요하고, 고지능인 사람들중 문과는 대부분 sky 들어가니깐."
1566,변희재는 지금까지 떠든거 하나도 이루어진것이 없음.
1567,"유영하가 이관섭 대통령 비서실장에게,""1+1"" 공천을 요구했다고?그래서 비서실장이 요구를 들어준거임?비서실장이 들어주었다고 발언하지는 않았네..  - dc App"
1568,정황의 증거  =  소설 잘 써놨어
1569,끝물이니까 눈치껏 접어라이거잖아.  - dc App
1570,변희재 쟤는 진중권이랑 사망토론할때부터 돈안주면 저리 땡깡놓는거임.   - dc App
1571,변희재는 5 18의 똥통 늪에서 빠져나와야 산다.지만원 전광훈 도태우 같은 자가 되지 않으려면
1572,지가 518 깐 과거 끌려나올까봐 약치는거지 니도 당해야 되는데존재감이 ㅋㅋㅋㅋ
1573,???: 우리 일베 출신 누구 있나
1574,민주당은 북한이 공천한거냐??
1575,한동훈 특검 가좌
1576,쟤들은 걸핏하면 탄핵 걸핏하면 특검 저게 뭐 애들 장난임?
1577,가즈아
1578,고 - dc App
1579,"가즈아~, 조국은 감옥으로~"
1580,문성근이가 김일성 사진 올렸다~!!!그런데 문성근이는 조국혁신당 후원자라고 하더라~!!!북한은 반대한다~!!!!!!!!!
1581,윤석열->탄핵김건희->특검한동훈딸->특검윤석열 담당일진->조국
1582,김건희 한동훈 감옥으로
1583,논리적인 척은 다 하면서 피장파장의 오류가 습관이네ㅋㅋㅋ 추하다
1584,왕초보 150석 국힘당 100석 민주당 50석 좌익은 전멸이 이게 제일루 조아~1
1585,퇴직금 50억 정도 받고 난교도 좀하고 일베도 좀하고 친일하다가 나라도 좀 팔아먹고 그래야 보수지
1586,나경원은 국회선진화 법 위반으로 진작에 판결 받고 감옥 갔어야 하는것 아닌가?
1587,나베(음식이름)ㅋㅋㅋㅋ
1588,아 존나 못생겼네 저여자
1589,"좌빨들 할줄아는건  괴담, 선동질, 데모질,. 빨갱이질 뿐이지."
1590,3조 3천억은 33이네? 삼삼드레가 먹었을 듯.
1591,디올백안에 들어갔을지도 모른다ㅋㅋ
1592,밑구녕에 숨겨놨나
1593,그만 좀 했으면 좋겠다~!닭같다~!!!!
1594,맞는말인데?
1595,과거보다 현재중요. 너무나도 당연한 말이잖아
1596,국힘88대장ㅋㅋ
1597,주옥같은 문학의 밤ㅋㅋㅋㅋ
1598,그냥 프리메이슨인가~!!!!
1599,변태의 힘 납셨네. 대마예찬하던 놈이라  sns에 저딴거 처올릴때 제정신이었는지 진심 궁금함
1600,ㅋㅋㅋ  - dc App
1601,또 칠대남이냐
1602,Zz  - dc App
1603,저게 국민의 힘이다 국힘이 아니라 국민의 역적
1604,장학생 이토히로부미 빨아주는 2찍
1605,앞으로 노스페이스는 사지 않겠습니다. 오너리스크가 뭔지 깨달았으면...
1606,2찍 회사ㅋㅋㅋㅋ
1607,2찍 북 레드 스페이스
1608,"문광섭판사 ㅡ2021.02~ 서울고등법원 부장판사2018.10 충청남도선거관리위원회 위원장~2021.02 대전고등법원 수석부장판사 ㅡ역시나 김명수 작품ㅡ고위법관 재산신고 문광섭 서울고등법원부장판사 165억1000억원으로 뒤를 이었다. 1966년생 '박사방' 조주빈, 2심서 징역 45→42년으로 줄어"
1609,자랑스런 1찍입니다 ㅋㅋ
1610,2찍이 발작버튼인가?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1611,아이조아~| ㅋㅋ
1612,좋아 더 해줘~
1613,도태우 : 난데?
1614,추가로 국짐은 경선때 여조로 하기 때문에 관련 지지자들이 수천명 단위로 전화대기해서 경선기간중  여조가 크게 왜곡됨  - dc App
1615,미국도 여론조사 전화 집으로만 돌려서 공화당백인노인네들만 받나봄
1616,ㅇㅇ
1617,국힘 한동훈 총선 악재 계속 터져 나오네 정계은퇴하라는 하늘의 계시인가보다
1618,돈봉투당 국짐
1619,김중공산당사위는 불법건축의혹도 있잖아. 1찍들 열심히 일 안하냐? 1찍이던2찍이던 중공속국되는건 막아야지
1620,내편은 죄가없당께 ㅋㅋㅋ
1621,윤로남불
1622,그래서 윤석열은 더 망해야함
